kode,nama_barang,tanggal,satuan,merk,stok,lokasi
1.1.7.01.01.01.002.00007,Semen,2025-10-10,zak,50 kg,6.0,Gudang Abal 
1.1.7.01.01.01.021.00030,Thinner,2025-10-10,KALENG,,47.0,Gudang Abal 
1.1.7.02.02.03.004.00045,Tutup Dop,2025-10-10,Buah,pvc uk 2 AW,22.0,Gudang Abal 
1.1.7.02.02.03.004.00047,Tutup Dop,2025-10-10,Buah,pvc uk 4 AW,44.0,Gudang Abal 
1.1.7.02.02.06.001.00091,Tutup Dop,2025-10-10,Buah,pvc uk 6 AW,66.0,Gudang Abal 
1.1.7.01.02.01.001.01632,Van Belt,2025-10-10,Buah,Blower type A52,20.0,Gudang Abal 
1.1.7.01.01.01.006.00175,CAT MINYAK,2025-10-10,KALENG,ISI 5 LITER Cat besi & kayu Glossy merk zinctium,13.0,Gudang Abal 
1.1.7.01.01.01.006.00175,CAT MINYAK,2025-10-10,KALENG,ISI 5 LITER Cat besi & kayu Glossy,18.0,Gudang Pantai
1.1.7.01.01.01.012.00007,Besi Siku,2025-10-10,BATANG,Uk. 60.60.6 Panjang 6 M,14.0,Gudang Pantai
1.1.7.01.01.01.012.00028,Besi Hollow,2025-10-10,BATANG,2X2X600 cm,3.0,Gudang Pantai
1.1.7.01.01.01.012.00067,Besi Hollow,2025-10-10,BATANG,4X4X600 Mm Dia. Tebal 2 Mm,2.0,Gudang Pantai
1.1.7.01.01.01.012.00083,Besi Beton,2025-10-10,BATANG,Polos Diameter 10,2.0,Gudang Pantai
1.1.7.01.01.01.012.00084,Besi Beton,2025-10-10,BATANG,Polos Diameter 12,5.0,Gudang Pantai
1.1.7.01.01.01.027.00034,Paku,2025-10-10,KG,Beton 5-12 cm,20.0,Gudang Pantai
1.1.7.01.01.01.027.00034,Paku,2025-10-10,KG,Beton 5-12 cm,11.0,Gudang Abal 
1.1.7.01.01.01.027.00019,Paku,2025-10-10,KG,Tripleks,11.0,Gudang Abal 
1.1.7.01.01.01.027.00019,Paku,2025-10-10,KG,Tripleks,1.0,Gudang Pantai
1.1.7.01.01.05.001.00020,Kawat,2025-10-10,KG,,6.0,Gudang Abal 
1.1.7.01.01.05.001.00020,Kawat,2025-10-10,KG,Beton,12.0,Gudang Pantai
1.1.7.01.01.05.002.00011,Kayu Kaso Meranti,2025-10-10,BATANG,Kaso uk 5/7,13.0,Gudang Abal 
1.1.7.01.01.05.002.00058,Kayu Balok,2025-10-10,BATANG,Meranti uk. 8x12x400 cm,2.0,Gudang Pantai
1.1.7.01.01.05.002.00057,Kayu Lapis,2025-10-10,LEMBAR,Tripleks Uk. 1220x2440x12 mm,3.0,Gudang Pantai
1.1.7.01.03.01.010.00002,Lem Pipa uPVC,2025-10-10,BUAH,400 Gr,19.0,Gudang Abal 
1.1.7.01.03.01.010.00002,Lem Pipa uPVC,2025-10-10,BUAH,400 Gr,19.0,Gudang Pantai
1.1.7.01.03.08.002.00358,Lampu Led,2025-10-10,BUAH,18 W,11.0,Gudang Abal 
1.1.7.01.03.08.002.00358,Lampu Led,2025-10-10,BUAH,19 W,11.0,Gudang Pantai
1.1.7.02.02.06.001.00004,Pipa Pvc Dia. 1/ 2,2025-10-10,BATANG,Type Aw,9.0,Gudang Pantai
1.1.7.02.02.06.001.00125,Pipa Pvc Dia. 4,2025-10-10,BATANG,Type Aw,1.0,Gudang Pantai
1.1.7.02.02.06.001.00125,Pipa Pvc Dia. 4,2025-10-10,BATANG,Type Aw,25.0,Gudang Abal 
1.1.7.02.02.06.001.00004,Pipa Pvc Dia. 1/ 2,2025-10-10,BATANG,Type Aw,10.0,Gudang Abal 
1.1.7.02.02.06.001.00006,Pipa Pvc Dia. 1,2025-10-10,BATANG,Type Aw,40.0,Gudang Abal 
1.1.7.02.02.06.001.00124,Pipa Pvc Dia. 3,2025-10-10,BATANG,Type Aw,14.0,Gudang Abal 
1.1.7.02.02.06.001.00122,Pipa Pvc Dia. 2,2025-10-10,BATANG,Type Aw,8.0,Gudang Abal 
1.1.7.02.02.06.001.00122,Pipa Pvc Dia. 2,2025-10-10,BATANG,Type Aw,8.0,Gudang Pantai
1.1.7.02.02.06.001.00127,Pipa Pvc Dia. 6,2025-10-10,BATANG,Type Aw,12.0,Gudang Pantai
1.1.7.02.02.06.001.00139,"Tee 3""",2025-10-10,BUAH,Type AW,41.0,Gudang Pantai
1.1.7.02.02.06.001.00013,"Tee 8""",2025-10-10,BUAH,Type AW,4.0,Gudang Pantai
1.1.7.02.02.06.001.00090,"Tee 6""",2025-10-10,BUAH,Type AW,3.0,Gudang Pantai
"1.1.7.02.02.06.001.00244",Tutup Dop,2025-10-10,Buah,Uk : 4,20.0,Gudang Pantai
1.1.7.01.01.01.020.00006,Karung,2025-10-10,BUAH,"Barang plastik anyaman ukuran 45x75 cm, 25 kg",9310.0,Gudang Pantai
1.1.7.01.01.01.020.00006,Karung,2025-10-10,BUAH,"Barang plastik anyaman ukuran 45x75 cm, 25 kg",3500.0,Gudang Abal 
1.1.7.01.01.01.019.00002,Kawat Bronjong,2025-10-10,UNIT,"Uk. 0,5 m x 1m x 2m",23.0,Gudang Pantai
,Kawat Las,2025-10-10,Kg,"2,0 mm",10.0,Gudang Pantai
,Kawat Las,2025-10-10,Kg,"1,6 mm",10.0,Gudang Pantai
1.1.7.01.01.01.019.00002,Kawat Las,2025-10-10,Kg,"2,6 mm",160.0,Gudang Abal 
1.1.7.01.01.01.019.00002,Kawat Las,2025-10-10,Kg,"2,6 mm",74.0,Gudang Pantai
